# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.0010000000,28.1591558436
0.0020000000,29.6648476739
0.0030000000,30.5458451455
0.0040000000,31.1710793308
0.0050000000,31.6561692254
0.0060000000,32.0526146141
0.0070000000,32.3878870509
0.0080000000,32.6783846062
0.0090000000,32.9346843721
0.0100000000,33.1640083132
0.0110000000,33.3715075634
0.0120000000,33.5609855298
0.0130000000,33.7353305621
0.0140000000,33.8967878203
0.0150000000,34.0471371204
0.0160000000,34.1878132650
0.0170000000,34.3199898298
0.0180000000,34.4446389658
0.0190000000,34.5625750100
0.0200000000,34.6744868974
0.0210000000,34.7809626569
0.0220000000,34.8825082033
0.0230000000,34.9795619484
0.0240000000,35.0725063005
0.0250000000,35.1616768149
0.0260000000,35.2473695483
0.0270000000,35.3298470248
0.0280000000,35.4093431163
0.0290000000,35.4860670661
0.0300000000,35.5602068301
0.0310000000,35.6319318696
0.0320000000,35.7013955016
0.0330000000,35.7687368857
0.0340000000,35.8340827161
0.0350000000,35.8975486668
0.0360000000,35.9592406340
0.0370000000,36.0192558078
0.0380000000,36.0776836014
0.0390000000,36.1346064592
0.0400000000,36.1901005627
0.0410000000,36.2442364492
0.0420000000,36.2970795559
0.0430000000,36.3486907004
0.0440000000,36.3991265050
0.0450000000,36.4484397742
0.0460000000,36.4966798307
0.0470000000,36.5438928142
0.0480000000,36.5901219504
0.0490000000,36.6354077905
0.0500000000,36.6797884283
0.0510000000,36.7232996938
0.0520000000,36.7659753299
0.0530000000,36.8078471513
0.0540000000,36.8489451884
0.0550000000,36.8892978182
0.0560000000,36.9289318842
0.0570000000,36.9678728041
0.0580000000,37.0061446694
0.0590000000,37.0437703364
0.0600000000,37.0807715085
0.0610000000,37.1171688132
0.0620000000,37.1529818716
0.0630000000,37.1882293629
0.0640000000,37.2229290839
0.0650000000,37.2570980036
0.0660000000,37.2907523138
0.0670000000,37.3239074758
0.0680000000,37.3565782637
0.0690000000,37.3887788048
0.0700000000,37.4205226161
0.0710000000,37.4518226400
0.0720000000,37.4826912755
0.0730000000,37.5131404086
0.0740000000,37.5431814402
0.0750000000,37.5728253123
0.0760000000,37.6020825318
0.0770000000,37.6309631938
0.0780000000,37.6594770027
0.0790000000,37.6876332919
0.0800000000,37.7154410426
0.0810000000,37.7429089014
0.0820000000,37.7700451968
0.0830000000,37.7968579541
0.0840000000,37.8233549106
0.0850000000,37.8495435288
0.0860000000,37.8754310094
0.0870000000,37.9010243034
0.0880000000,37.9263301236
0.0890000000,37.9513549550
0.0900000000,37.9761050655
0.0910000000,38.0005865151
0.0920000000,38.0248051654
0.0930000000,38.0487666876
0.0940000000,38.0724765712
0.0950000000,38.0959401312
0.0960000000,38.1191625159
0.0970000000,38.1421487134
0.0980000000,38.1649035586
0.0990000000,38.1874317389
0.1000000000,38.2097378005
0.1010000000,38.2318261540
0.1020000000,38.2537010795
0.1030000000,38.2753667319
0.1040000000,38.2968271459
0.1050000000,38.3180862400
0.1060000000,38.3391478217
0.1070000000,38.3600155910
0.1080000000,38.3806931448
0.1090000000,38.4011839805
0.1100000000,38.4214914997
0.1110000000,38.4416190119
0.1120000000,38.4615697372
0.1130000000,38.4813468101
0.1140000000,38.5009532822
0.1150000000,38.5203921252
0.1160000000,38.5396662336
0.1170000000,38.5587784274
0.1180000000,38.5777314547
0.1190000000,38.5965279939
0.1200000000,38.6151706563
0.1210000000,38.6336619881
0.1220000000,38.6520044729
0.1230000000,38.6702005330
0.1240000000,38.6882525325
0.1250000000,38.7061627781
0.1260000000,38.7239335216
0.1270000000,38.7415669614
0.1280000000,38.7590652439
0.1290000000,38.7764304659
0.1300000000,38.7936646754
0.1310000000,38.8107698731
0.1320000000,38.8277480146
0.1330000000,38.8446010108
0.1340000000,38.8613307298
0.1350000000,38.8779389982
0.1360000000,38.8944276020
0.1370000000,38.9107982880
0.1380000000,38.9270527650
0.1390000000,38.9431927047
0.1400000000,38.9592197430
0.1410000000,38.9751354806
0.1420000000,38.9909414846
0.1430000000,39.0066392889
